unique_id,repo,key,scope,complexity,commit,date,message,_source_file,original_commit
druid_17369_31.0.0,druid,17369_31.0.0,S3,C5,3ba7badda390977805600942d71016b5af12751b,2024-10-18 04:47:07+00:00,"Backport ""Fixes an issue with AppendableMemory that can cause MSQ jobs to fail"" (#17369) (#17372)",filtered\s3_newtests\druid_S3_patches.csv,5b09329479117a54f68d5ce9e4c8b245d76a8f79
druid_17319_31.0.0,druid,17319_31.0.0,S3,C5,06c1a6a31eaa2339a8507658ea1baf378da48e4a,2024-10-10 11:15:34+00:00,"[Backport] Dart backports for (#17312) , (#17313) , (#17319) (#17322)",filtered\s3_newtests\druid_S3_patches.csv,074944e02c7fb29b9f4160626ff8dc6fd225b0a9
druid_17094_31.0.0,druid,17094_31.0.0,S3,C3,4a8008aebb7b3f324325feabd1b5a11a07e76022,2024-10-02 02:14:33+00:00,Use the whole frame when writing rows. (#17094) (#17195),filtered\s3_newtests\druid_S3_patches.csv,3d45f9829c7b80e3b5289aaf5710b3932639349e
druid_16885_31.0.0,druid,16885_31.0.0,S3,C1,11727af2a6c464b57047b1a97ff5053daa6fb0dd,2024-09-19 03:32:12+00:00,Fix String Frame Readers to read String Arrays correctly (#16885) (#17103),filtered\s3_newtests\druid_S3_patches.csv,c7c3307e6193db8ddc879f48bbf3b9e3d1b41a6c
druid_16334_30.0.0,druid,16334_30.0.0,S3,C1,d6858771d1acb63c5fb39a3a6bcd62b03461dc15,2024-05-03 15:58:47+00:00,Add config lagAggregate to LagBasedAutoScalerConfig  (#16334) (#16377),filtered\s3_newtests\druid_S3_patches.csv,f8015eb02a95925036b4ce5ad0c1384ff634b30a
druid_16096_29.0.1,druid,16096_29.0.1,S3,C3,e1dc60f21d7d9ec502c1f256ac27b5e6abd92792,2024-03-19 12:16:42+00:00,Fix incorrect header names for certain export queries (#16096) (#16167),filtered\s3_newtests\druid_S3_patches.csv,a151bcfd12e86b3ace7a9776cb7bc1e87ea2a017
druid_15738_29.0.0,druid,15738_29.0.0,S3,C1,f283849821d0ffde5dfe6a64a7400f0191ef5989,2024-02-08 16:17:41+00:00,Extend unused segment metadata api response to include created date and last used updated time (#15738) (#15867),filtered\s3_newtests\druid_S3_patches.csv,ae6afc0751b8912b7beb374ffca589e288b3ed9f
elasticsearch_121948_8.19,elasticsearch,121948_8.19,S3,C5,56e19e28bd098337f57e5b49f45ae14137fd3e72,2025-05-01 21:28:14+00:00,ESQL: Improve error message for ( and [ (#124177) (#127620),filtered\s3_newtests\elasticsearch_S3_patches.csv,21845ad7a18821ccd80927211285308bb3eb8038
elasticsearch_122801_8.x,elasticsearch,122801_8.x,S3,C5,2aa011d594ee87cefbae255310afe75afc6a00e1,2025-02-24 09:33:50+00:00,[8.x] Add rescore knn vector test coverage (#122801) (#123239),filtered\s3_newtests\elasticsearch_S3_patches.csv,f5e2a92a3171808bd163570c3e1546230ec7c5ac
elasticsearch_122535_8.x,elasticsearch,122535_8.x,S3,C3,c0ce37d129b605da91462bf89231a0109aa417d8,2025-02-14 02:41:21+00:00,[8.x] Add action to copy index metadata when reindexing data stream indices (#122535) (#122559),filtered\s3_newtests\elasticsearch_S3_patches.csv,aba25c628a52161a1d2c73c1868a437ad5dac6a2
elasticsearch_120246_8.x,elasticsearch,120246_8.x,S3,C5,ddd0ffa8a14d27839a2497d6595c46c84cf70099,2025-01-18 07:40:44+00:00,backport http-stream-content-size-handler (#120417),filtered\s3_newtests\elasticsearch_S3_patches.csv,43e3e24d075332ed8c697113236ee4126fd56603
elasticsearch_120207_8.x,elasticsearch,120207_8.x,S3,C3,dc3aaf1dc10d0c22ae867f118a51209555908055,2025-01-16 17:09:25+00:00,Make requests_per_second configurable to throttle reindexing (#120207) (#120300),filtered\s3_newtests\elasticsearch_S3_patches.csv,7ac250077300e4b206e740da166fd3eec9dac389
elasticsearch_118353_8.x,elasticsearch,118353_8.x,S3,C3,da55d6c2709ecb448d1bf9b53f53bdbd2f2a40fc,2024-12-19 17:54:49+00:00,Epoch Millis Rounding Down and Not Up (#118353) (#119104),filtered\s3_newtests\elasticsearch_S3_patches.csv,ee163eb6be25b7d0abf4bbfb54d006d0ddcf1e9f
elasticsearch_115048_8.x,elasticsearch,115048_8.x,S3,C1,e7ac7c3c960e38fb06aabdc09efc3e635424732b,2024-10-18 18:58:04+00:00,Add timeout and cancellation check to rescore phase (#115048) (#115132),filtered\s3_newtests\elasticsearch_S3_patches.csv,a5118c2d9fa5e2442c408089387e75337b2a5d4a
elasticsearch_114683_8.x,elasticsearch,114683_8.x,S3,C5,ffcf87ce1dbd769b5d12df18b48653a9ede8b5c3,2024-10-15 00:14:49+00:00,[ML] Default inference endpoint for the multilingual-e5-small model (#114683) (#114779),filtered\s3_newtests\elasticsearch_S3_patches.csv,5efba5b43d79c15d8d7304d32e4f95a741134ffb
elasticsearch_113759_8.x,elasticsearch,113759_8.x,S3,C3,945aaa2a8794f58fdb39225e53096178560ba49c,2024-10-01 07:59:41+00:00,"[8.x] Reapply ""synthetic source index setting provider should check source field mapper"" (#113759) (#113828)",filtered\s3_newtests\elasticsearch_S3_patches.csv,4d6c3cacff1cbef3a34ef3edb1bab1d7a0043bb2
elasticsearch_113099_8.x,elasticsearch,113099_8.x,S3,C5,cc3caa228def0974e5d8299e5321b0a6987f9e6e,2024-09-25 12:35:09+00:00,[ML] Add deployment threading details and memory usage to telemetry (#113099) (#113516),filtered\s3_newtests\elasticsearch_S3_patches.csv,884196ced3599cd96baf6c6cafb05e3a28a6d198
elasticsearch_112888_8.x,elasticsearch,112888_8.x,S3,C1,7463b775fa88298ae249f7dda02672a72ebaeb3c,2024-09-16 20:23:00+00:00,Fix getDatabaseType for unusual MMDBs (#112888) (#112954),filtered\s3_newtests\elasticsearch_S3_patches.csv,e47365f413db06a504c0ec2758bbbccbc054d99c
jdk11u-dev_bfc3bebd26fa21716ac6461a016bda5548486978,jdk11u-dev,bfc3bebd26fa21716ac6461a016bda5548486978,S3,C3,bfc3bebd26fa21716ac6461a016bda5548486978,2025-05-08 22:03:06+00:00,8232625: HttpClient redirect policy should be more conservative,filtered\s3_newtests\jdk11u-dev_S3_patches.csv,b3477399d01c81dfe87e2041926a0244e616c18f
jdk11u-dev_710baba5abf51bbca596aa7c9efbe64b19e4f73d,jdk11u-dev,710baba5abf51bbca596aa7c9efbe64b19e4f73d,S3,C5,710baba5abf51bbca596aa7c9efbe64b19e4f73d,2025-04-08 17:04:29+00:00,8309841: Jarsigner should print a warning if an entry is removed,filtered\s3_newtests\jdk11u-dev_S3_patches.csv,bdfb41f977258831e4b0ceaef5d016d095ab6e7f
jdk11u-dev_be6956b15653f0d870efae89fc1b5df657cca45f,jdk11u-dev,be6956b15653f0d870efae89fc1b5df657cca45f,S3,C3,be6956b15653f0d870efae89fc1b5df657cca45f,2025-01-11 22:18:17+00:00,8273914: Indy string concat changes order of operations,filtered\s3_newtests\jdk11u-dev_S3_patches.csv,cfee4512f7048e9cf440078e9eb87d37c7ebcdd9
jdk11u-dev_f53cbeaa1459ee4a9a96b11500895a9d99c8e366,jdk11u-dev,f53cbeaa1459ee4a9a96b11500895a9d99c8e366,S3,C5,f53cbeaa1459ee4a9a96b11500895a9d99c8e366,2025-01-11 18:24:00+00:00,8335912: Add an operation mode to the jar command when extracting to not overwriting existing files,filtered\s3_newtests\jdk11u-dev_S3_patches.csv,158b93d19a518d2b9d3d185e2d4c4dbff9c82aab
jdk11u-dev_445e79ea99250a77ca38223710ca7e7fef0b6309,jdk11u-dev,445e79ea99250a77ca38223710ca7e7fef0b6309,S3,C5,445e79ea99250a77ca38223710ca7e7fef0b6309,2024-10-03 19:53:21+00:00,8263031: HttpClient throws Exception if it receives a Push Promise that is too large,filtered\s3_newtests\jdk11u-dev_S3_patches.csv,4d2cd26ab5092ad0a169e4239164a869a4255bd3
jdk11u-dev_0358cbd0a1538937612e3a78ffbfb64d7f4c45a2,jdk11u-dev,0358cbd0a1538937612e3a78ffbfb64d7f4c45a2,S3,C5,0358cbd0a1538937612e3a78ffbfb64d7f4c45a2,2024-09-23 14:08:45+00:00,8296410: HttpClient throws java.io.IOException: no statuscode in response for HTTP2,filtered\s3_newtests\jdk11u-dev_S3_patches.csv,f4b140b4200fc0f49161395501d3dbcba7a79059
jdk11u-dev_be6c6212ffb542d517513784ce10eda68cbb0fe9,jdk11u-dev,be6c6212ffb542d517513784ce10eda68cbb0fe9,S3,C3,be6c6212ffb542d517513784ce10eda68cbb0fe9,2024-06-13 08:00:44+00:00,8305072: Win32ShellFolder2.compareTo is inconsistent,filtered\s3_newtests\jdk11u-dev_S3_patches.csv,2fcb816858406f33cefef3164b2c85f9f996c7da
jdk11u-dev_4117953453635dbaea56add47a6fde5eb3f1258d,jdk11u-dev,4117953453635dbaea56add47a6fde5eb3f1258d,S3,C4,4117953453635dbaea56add47a6fde5eb3f1258d,2024-03-27 17:22:15+00:00,"8273831: PrintServiceLookup spawns 2 threads in the current classloader, getting orphaned",filtered\s3_newtests\jdk11u-dev_S3_patches.csv,687567822a5380fb7d8c5b54ae548b2a5c848187
jdk11u-dev_ec4e75d81a3661df3dbf43610cba69c453099082,jdk11u-dev,ec4e75d81a3661df3dbf43610cba69c453099082,S3,C3,ec4e75d81a3661df3dbf43610cba69c453099082,2024-01-29 02:03:32+00:00,8308245: Add -proc:full to describe current default annotation processing policy,filtered\s3_newtests\jdk11u-dev_S3_patches.csv,42ecc8a37ffc7e4ad7beb49cac7d821c00a5568e
jdk11u-dev_224f0f30bded37d003e66445bae98d9f7f80c60d,jdk11u-dev,224f0f30bded37d003e66445bae98d9f7f80c60d,S3,C3,224f0f30bded37d003e66445bae98d9f7f80c60d,2024-01-10 01:08:35+00:00,6928542: Chinese characters in RTF are not decoded,filtered\s3_newtests\jdk11u-dev_S3_patches.csv,a26f7c03c72e4efe6d3219d294294c554aebc631
jdk17u-dev_350badf5e7fcfebd9fc8848ffad4d6df6b874ad0,jdk17u-dev,350badf5e7fcfebd9fc8848ffad4d6df6b874ad0,S3,C3,350badf5e7fcfebd9fc8848ffad4d6df6b874ad0,2025-07-10 12:47:36+00:00,8350582: Correct the parsing of the ssl value in javax.net.debug,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,1ec64811a365442c902e334b56f4cf926c316a4a
jdk17u-dev_8b306de46d88219722a57f6e72d0b4456eb6faf0,jdk17u-dev,8b306de46d88219722a57f6e72d0b4456eb6faf0,S3,C3,8b306de46d88219722a57f6e72d0b4456eb6faf0,2025-07-08 15:56:13+00:00,8282144: RandomSupport.convertSeedBytesToLongs sign extension overwrites previous bytes,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,5fab27e1b8fdf2ea27cb3b349bd339a4a6ec828b
jdk17u-dev_183b9a0ab4d6d37d120ea239cac61d6bbd6a7d43,jdk17u-dev,183b9a0ab4d6d37d120ea239cac61d6bbd6a7d43,S3,C3,183b9a0ab4d6d37d120ea239cac61d6bbd6a7d43,2025-06-26 17:29:30+00:00,8314978: Multiple server call from connection failing with expect100 in getOutputStream,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,460ebcd9cb94867608e22e07092bd1cf33228700
jdk17u-dev_4b40f900f47af62d7c0072b65e1c6bc3e9985ef1,jdk17u-dev,4b40f900f47af62d7c0072b65e1c6bc3e9985ef1,S3,C5,4b40f900f47af62d7c0072b65e1c6bc3e9985ef1,2025-06-25 07:58:32+00:00,8294916: Cancelling a request must eventually cause its response body subscriber to be unregistered,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,dcd46501e6a25ac875d61bfbd412555b933ce34c
jdk17u-dev_35325584ecf40cee0b8ef9096e45035347df88b0,jdk17u-dev,35325584ecf40cee0b8ef9096e45035347df88b0,S3,C3,35325584ecf40cee0b8ef9096e45035347df88b0,2025-06-17 08:11:02+00:00,8334394: Race condition in Class::protectionDomain,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,c3226aaeb810521257e961be5763552c86ee5651
jdk17u-dev_fca25f193b6d743e9fd9893106801b61941370af,jdk17u-dev,fca25f193b6d743e9fd9893106801b61941370af,S3,C5,fca25f193b6d743e9fd9893106801b61941370af,2025-06-17 07:54:27+00:00,8277969: HttpClient SelectorManager shuts down when custom Executor rejects a task,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,5291ec8d56b0e89aa96c3d53d9dcf093480cf48f
jdk17u-dev_95fe05a32508fc2ac2eb235a236111e6b9a4eba7,jdk17u-dev,95fe05a32508fc2ac2eb235a236111e6b9a4eba7,S3,C3,95fe05a32508fc2ac2eb235a236111e6b9a4eba7,2025-06-13 14:44:00+00:00,"8136895: Writer not closed with disk full error, file resource leaked",filtered\s3_newtests\jdk17u-dev_S3_patches.csv,d55d7e8d87670043dd22ec6a3fb6cc49b39000cd
jdk17u-dev_77bc699333c257c18a73ac3de0f5286eba60550f,jdk17u-dev,77bc699333c257c18a73ac3de0f5286eba60550f,S3,C3,77bc699333c257c18a73ac3de0f5286eba60550f,2025-06-09 23:16:23+00:00,8312191: ColorConvertOp.filter for the default destination is too slow,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,e5f05b5a963774914751d9c241dd5693ed06af0b
jdk17u-dev_4070736f14d2c036243f8cb2745b2fa8b9d9af13,jdk17u-dev,4070736f14d2c036243f8cb2745b2fa8b9d9af13,S3,C3,4070736f14d2c036243f8cb2745b2fa8b9d9af13,2025-05-26 13:23:56+00:00,8320687: sun.jvmstat.monitor.MonitoredHost.getMonitoredHost() throws unexpected exceptions when invoked concurrently,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,81484d8c0520cf55ec58fc7b4c81880e69537674
jdk17u-dev_1133187ec89f99e80ecc7fc3bd01d73e0ff81223,jdk17u-dev,1133187ec89f99e80ecc7fc3bd01d73e0ff81223,S3,C3,1133187ec89f99e80ecc7fc3bd01d73e0ff81223,2025-04-28 16:46:24+00:00,8314236: Overflow in Collections.rotate,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,3828dc913a3ea28d622b69bd07f26949128eb5f7
jdk17u-dev_9bad4b45f08f369d6a55cbd2bafda10438dc93ed,jdk17u-dev,9bad4b45f08f369d6a55cbd2bafda10438dc93ed,S3,C3,9bad4b45f08f369d6a55cbd2bafda10438dc93ed,2025-04-18 18:24:01+00:00,8316156: ByteArrayInputStream.transferTo causes MaxDirectMemorySize overflow,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,5cacf212f066f5694d01f0891adfbe8b38660175
jdk17u-dev_1f039fe2044edbd09d62914bc99e01facfc453c4,jdk17u-dev,1f039fe2044edbd09d62914bc99e01facfc453c4,S3,C3,1f039fe2044edbd09d62914bc99e01facfc453c4,2025-04-11 13:21:52+00:00,8344361: Restore null return for invalid services from legacy providers,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,e20bd018c4046870d0cf632bb8e5440cb9f5c3c2
jdk17u-dev_6298607643dc00f2d7a2f2c23894fed0618cc78d,jdk17u-dev,6298607643dc00f2d7a2f2c23894fed0618cc78d,S3,C3,6298607643dc00f2d7a2f2c23894fed0618cc78d,2025-04-09 15:49:09+00:00,8309841: Jarsigner should print a warning if an entry is removed,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,bdfb41f977258831e4b0ceaef5d016d095ab6e7f
jdk17u-dev_01425e40cd545b0183d792fc6d3a82bbfb70c468,jdk17u-dev,01425e40cd545b0183d792fc6d3a82bbfb70c468,S3,C3,01425e40cd545b0183d792fc6d3a82bbfb70c468,2025-03-31 18:35:47+00:00,6956385: URLConnection.getLastModified() leaks file handles for jar:file and file: URLs,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,9f98136c3a00ca24d59ffefd58308603b58110c7
jdk17u-dev_574e1ad734409bdcf1b78f0c6b53a7196b3b0d66,jdk17u-dev,574e1ad734409bdcf1b78f0c6b53a7196b3b0d66,S3,C3,574e1ad734409bdcf1b78f0c6b53a7196b3b0d66,2025-03-10 14:22:43+00:00,8316497: ColorConvertOp - typo for non-ICC conversions needs one-line fix,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,dadd9cd1e8434cffaafc7406a864eaa55954cfb8
jdk17u-dev_45a35e8539c3f93be78264832d4f4c462edb071f,jdk17u-dev,45a35e8539c3f93be78264832d4f4c462edb071f,S3,C3,45a35e8539c3f93be78264832d4f4c462edb071f,2025-02-22 15:11:49+00:00,8301989: new javax.swing.text.DefaultCaret().setBlinkRate(N) results in NPE,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,e81f20b50405dc02963c8bf549000c60e78152d8
jdk17u-dev_86d5a0e37a622950d55cb95876a805da5c572793,jdk17u-dev,86d5a0e37a622950d55cb95876a805da5c572793,S3,C3,86d5a0e37a622950d55cb95876a805da5c572793,2025-02-19 17:44:15+00:00,6355567: AdobeMarkerSegment causes failure to read valid JPEG,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,c7c6d47a07100f6c81af6cfad301ec1bda77adf7
jdk17u-dev_cf4fca2f96f8ae20a4645d571ef65b2be1d7a5fb,jdk17u-dev,cf4fca2f96f8ae20a4645d571ef65b2be1d7a5fb,S3,C3,cf4fca2f96f8ae20a4645d571ef65b2be1d7a5fb,2025-02-07 08:33:05+00:00,8266435: WBMPImageReader.read() should not truncate the input stream,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,8198807b4a811040c7d9f65fb98494fc7d840814
jdk17u-dev_d2fb8c273488f0ff57e5f0aacb00d679d7ffa849,jdk17u-dev,d2fb8c273488f0ff57e5f0aacb00d679d7ffa849,S3,C3,d2fb8c273488f0ff57e5f0aacb00d679d7ffa849,2025-01-20 09:02:50+00:00,8311546: Certificate name constraints improperly validated with leading period 8320372: test/jdk/sun/security/x509/DNSName/LeadingPeriod.java validity check failed 8347424: Fix and rewrite sun/security/x509/DNSName/LeadingPeriod.java test,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,bfaf5704e7e71f968b716b5f448860e9cda721b4
jdk17u-dev_25c7a7bdc1470e2e8e8cc0844ce95fac7c501103,jdk17u-dev,25c7a7bdc1470e2e8e8cc0844ce95fac7c501103,S3,C5,25c7a7bdc1470e2e8e8cc0844ce95fac7c501103,2025-01-17 16:55:54+00:00,"8179502: Enhance OCSP, CRL and Certificate Fetch Timeouts",filtered\s3_newtests\jdk17u-dev_S3_patches.csv,2836c34b64e4626e25c86a53e5bef2bf32f95d2e
jdk17u-dev_d3b28d47fac02c6c9848a45f63a9b66437f8fb2c,jdk17u-dev,d3b28d47fac02c6c9848a45f63a9b66437f8fb2c,S3,C3,d3b28d47fac02c6c9848a45f63a9b66437f8fb2c,2025-01-03 10:32:08+00:00,8283387: [macos] a11y : Screen magnifier does not show selected Tab,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,d5cd4a3a28a85bbcaa3c0c7f2e74e0684b5efcab
jdk17u-dev_d7df4c515e1a33ac28c7b1e4f2b391c3b0883891,jdk17u-dev,d7df4c515e1a33ac28c7b1e4f2b391c3b0883891,S3,C5,d7df4c515e1a33ac28c7b1e4f2b391c3b0883891,2025-01-03 10:29:38+00:00,8281234: The -protected option is not always checked in keytool and jarsigner,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,fc918a73d0dcc28146e60f15e978209424a32576
jdk17u-dev_41b4812c2409c9867d9fc2f60777706d07a95875,jdk17u-dev,41b4812c2409c9867d9fc2f60777706d07a95875,S3,C3,41b4812c2409c9867d9fc2f60777706d07a95875,2024-11-11 20:44:15+00:00,8303742: CompletableFuture.orTimeout leaks if the future completes exceptionally 8304557: java/util/concurrent/CompletableFuture/CompletableFutureOrTimeoutExceptionallyTest.java times out,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,ded6a8131970ac2f7ae59716769e6f6bae3b809a
jdk17u-dev_d1be3c9ff3e21c3c2688432835f1b3bcc51142f7,jdk17u-dev,d1be3c9ff3e21c3c2688432835f1b3bcc51142f7,S3,C3,d1be3c9ff3e21c3c2688432835f1b3bcc51142f7,2024-11-05 13:45:46+00:00,8340812: LambdaForm customization via MethodHandle::updateForm is not thread safe,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,47c10694c66bc131c8a5e1572340415b8daaba08
jdk17u-dev_a72e14af66c6625d2f6269938502f46dc9718ce8,jdk17u-dev,a72e14af66c6625d2f6269938502f46dc9718ce8,S3,C3,a72e14af66c6625d2f6269938502f46dc9718ce8,2024-10-30 07:34:46+00:00,7093691: Nimbus LAF: disabled JComboBox using renderer has bad font color,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,87b314a985c5c3937c1d1d8daadd3e9f8b1acd9d
jdk17u-dev_56c03a4a4244c822eec9a45a037465d383a8fafe,jdk17u-dev,56c03a4a4244c822eec9a45a037465d383a8fafe,S3,C3,56c03a4a4244c822eec9a45a037465d383a8fafe,2024-10-21 18:45:34+00:00,8273914: Indy string concat changes order of operations,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,cfee4512f7048e9cf440078e9eb87d37c7ebcdd9
jdk17u-dev_15586dc50be9c8a6a302f22df4112d2539f7fa80,jdk17u-dev,15586dc50be9c8a6a302f22df4112d2539f7fa80,S3,C3,15586dc50be9c8a6a302f22df4112d2539f7fa80,2024-10-05 13:19:21+00:00,8290367: Update default value and extend the scope of com.sun.jndi.ldap.object.trustSerialData system property 8332643: Better Location requests,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,7765942aeee25cbeb5fd932a93b3d8f9d4ca3655
jdk17u-dev_0b3d6c31d175c098ebb02c040890059920eb2322,jdk17u-dev,0b3d6c31d175c098ebb02c040890059920eb2322,S3,C5,0b3d6c31d175c098ebb02c040890059920eb2322,2024-10-03 19:52:40+00:00,8263031: HttpClient throws Exception if it receives a Push Promise that is too large,filtered\s3_newtests\jdk17u-dev_S3_patches.csv,4d2cd26ab5092ad0a169e4239164a869a4255bd3
